[6/23/20 | 4:52]: Fallen#4585 nmapped google.com.
[6/23/20 | 4:54]: Fallen#4585 nmapped google.com.
[6/23/20 | 4:55]: Dexor#5283 nmapped dexor.xyz.
[6/23/20 | 4:55]: Fallen#4585 nmapped 204.48.18.131.
[6/23/20 | 4:57]: Fallen#4585 nmapped 204.48.18.131.
[6/23/20 | 4:57]: Fallen#4585 nmapped 204.48.18.131.
[6/23/20 | 4:58]: Fallen#4585 nmapped 204.48.18.131.
[6/23/20 | 4:58]: Fallen#4585 nmapped 204.48.18.131.
[6/23/20 | 4:59]: Fallen#4585 nmapped 204.48.18.131.
[6/23/20 | 5:59]: Fallen#4585 nmapped google.com.
